Channel 0,Channel 1,Channel 2,Channel 3,
-0.3272607843391597,-0.22572857132763602,-0.2611842647602316,-0.326616135367658,
-0.3420877106836997,-0.2808460583910346,-0.2644075096177403,-0.28987114399205893,
-0.3056650437938515,-0.2505475567304529,-0.2644075096177403,-0.29696228267857805,
-0.3163017518236302,-0.27085399933275767,-0.25957264233147725,-0.279879084933782,
-0.2924497398780659,-0.24087782215792686,-0.2579610199027229,-0.28987114399205893,
-0.30727666622260585,-0.2640851851319894,-0.25344847710221075,-0.2734325952187646,
-0.287292548106052,-0.23765457730041817,-0.2540931260737125,-0.2863255746487994,
-0.3005078520218376,-0.25957264233147725,-0.24958058327320032,-0.27020935036125593,
-0.28664789913455024,-0.2363652793574147,-0.25119220570195466,-0.2837469787627924,
-0.2985739051073324,-0.2582833443884738,-0.24829128533019684,-0.267630754475249,
-0.2837469787627924,-0.23475365692866035,-0.25119220570195466,-0.2831023297912907,
-0.2976069316500798,-0.25731637093122117,-0.24732431187294424,-0.26795307896099985,
-0.2827800053055398,-0.2341090079571586,-0.24925825878744945,-0.2821353563340381,
-0.29599530922132544,-0.25731637093122117,-0.2466796629014425,-0.2673084299894981,
-0.2827800053055398,-0.23378668347140774,-0.2499029077589512,-0.28245768081978895,
-0.2966399581928272,-0.2569940464454703,-0.2466796629014425,-0.26698610550374724,
-0.2818130318482872,-0.23346435898565687,-0.24893593430169858,-0.2818130318482872,
-0.2963176337070763,-0.25667172195971943,-0.24635733841569163,-0.26666378101799637,
-0.2827800053055398,-0.2341090079571586,-0.24925825878744945,-0.2808460583910346,
-0.29502833576407284,-0.2560270729882177,-0.24603501392994076,-0.2653744830749929,
-0.2837469787627924,-0.2341090079571586,-0.24893593430169858,-0.28116838287678547,
-0.29406136230682023,-0.2557047485024668,-0.24539036495843902,-0.2653744830749929,
-0.2821353563340381,-0.233142034499906,-0.24893593430169858,-0.28149070736253634,
-0.2963176337070763,-0.25634939747396857,-0.24539036495843902,-0.2653744830749929,
-0.2821353563340381,-0.23346435898565687,-0.24893593430169858,-0.28116838287678547,
-0.29373903782106936,-0.25538242401671596,-0.24506804047268815,-0.265052158589242,
-0.28342465427704155,-0.2341090079571586,-0.24925825878744945,-0.28149070736253634,
-0.2930943888495676,-0.2550600995309651,-0.24474571598693728,-0.265052158589242,
-0.2831023297912907,-0.23443133244290948,-0.24893593430169858,-0.2821353563340381,
-0.29406136230682023,-0.2547377750452142,-0.24603501392994076,-0.26601913204649463,
-0.28471395222004503,-0.23572063038591295,-0.24958058327320032,-0.2818130318482872,
-0.2934167133353185,-0.25538242401671596,-0.24539036495843902,-0.26472983410349116,
-0.2831023297912907,-0.2341090079571586,-0.24893593430169858,-0.28149070736253634,
-0.2930943888495676,-0.2537708015879616,-0.24506804047268815,-0.2644075096177403,
-0.2831023297912907,-0.23443133244290948,-0.2486136098159477,-0.28116838287678547,
-0.2911604419350624,-0.2537708015879616,-0.24442339150118642,-0.26472983410349116,
-0.2850362767057959,-0.23572063038591295,-0.24958058327320032,-0.28116838287678547,
-0.28858184604905546,-0.2518368546734564,-0.2434564180439338,-0.2634405361604877,
-0.2860032501630485,-0.2363652793574147,-0.2499029077589512,-0.2821353563340381,
-0.28987114399205893,-0.25248150364495814,-0.24410106701543555,-0.26376286064623855,
-0.287292548106052,-0.2373322528146673,-0.2499029077589512,-0.2818130318482872,
-0.28858184604905546,-0.2518368546734564,-0.24442339150118642,-0.2631182116747368,
-0.2879371970775537,-0.2373322528146673,-0.2499029077589512,-0.2821353563340381,
-0.28954881950630806,-0.25215917915920727,-0.2434564180439338,-0.26376286064623855,
-0.28664789913455024,-0.2363652793574147,-0.24958058327320032,-0.28149070736253634,
-0.28987114399205893,-0.25151453018770553,-0.24377874252968468,-0.2634405361604877,
-0.28664789913455024,-0.23668760384316556,-0.24958058327320032,-0.2818130318482872,
-0.287292548106052,-0.2508698812162038,-0.24313409355818294,-0.2631182116747368,
-0.28858184604905546,-0.23765457730041817,-0.25022523224470206,-0.28245768081978895,
-0.2882595215633046,-0.25119220570195466,-0.24377874252968468,-0.26376286064623855,
-0.2869702236203011,-0.2373322528146673,-0.2505475567304529,-0.2818130318482872,
-0.29051579296356067,-0.2531261526164599,-0.24474571598693728,-0.26472983410349116,
-0.28535860119154677,-0.23604295487166382,-0.25022523224470206,-0.28245768081978895,
-0.2901934684778098,-0.252803828130709,-0.24474571598693728,-0.2640851851319894,
-0.28568092567729764,-0.23668760384316556,-0.2505475567304529,-0.28245768081978895,
-0.28858184604905546,-0.2508698812162038,-0.2434564180439338,-0.2631182116747368,
-0.2879371970775537,-0.23765457730041817,-0.2499029077589512,-0.2827800053055398,
-0.2869702236203011,-0.2505475567304529,-0.2434564180439338,-0.2634405361604877,
-0.2882595215633046,-0.23765457730041817,-0.2505475567304529,-0.2818130318482872,
-0.2863255746487994,-0.25022523224470206,-0.24377874252968468,-0.26279588718898594,
-0.29277206436381675,-0.24023317318642512,-0.2518368546734564,-0.28342465427704155,
-0.28439162773429416,-0.24925825878744945,-0.24281176907243207,-0.26279588718898594,
-0.2911604419350624,-0.2392661997291725,-0.25119220570195466,-0.2827800053055398,
-0.28535860119154677,-0.24893593430169858,-0.2434564180439338,-0.26279588718898594,
-0.29083811744931154,-0.23862155075767078,-0.25119220570195466,-0.2831023297912907,
-0.2850362767057959,-0.24925825878744945,-0.24216712010093033,-0.2624735627032351,
-0.28954881950630806,-0.2382992262719199,-0.2508698812162038,-0.2827800053055398,
-0.2879371970775537,-0.2505475567304529,-0.24410106701543555,-0.26279588718898594,
-0.2882595215633046,-0.23797690178616904,-0.2505475567304529,-0.28342465427704155,
-0.2863255746487994,-0.24925825878744945,-0.2424894445866812,-0.2624735627032351,
-0.2889041705348063,-0.23797690178616904,-0.2505475567304529,-0.28342465427704155,
-0.2860032501630485,-0.2499029077589512,-0.2434564180439338,-0.2624735627032351,
-0.28954881950630806,-0.23894387524342164,-0.2505475567304529,-0.2827800053055398,
-0.287292548106052,-0.2505475567304529,-0.24377874252968468,-0.2631182116747368,
-0.29083811744931154,-0.23991084870067425,-0.2518368546734564,-0.2840693032485433,
-0.2837469787627924,-0.2486136098159477,-0.24281176907243207,-0.2624735627032351,
-0.29373903782106936,-0.24120014664367773,-0.2518368546734564,-0.2831023297912907,
-0.2840693032485433,-0.2486136098159477,-0.2424894445866812,-0.26182891373173334,
-0.29180509090656415,-0.24023317318642512,-0.25151453018770553,-0.2840693032485433,
-0.2837469787627924,-0.24829128533019684,-0.24184479561517946,-0.26150658924598247,
-0.29277206436381675,-0.24087782215792686,-0.2508698812162038,-0.2831023297912907,
-0.2827800053055398,-0.24732431187294424,-0.2415224711294286,-0.26150658924598247,
-0.2930943888495676,-0.24120014664367773,-0.2505475567304529,-0.2840693032485433,
-0.28020140941953287,-0.2466796629014425,-0.24184479561517946,-0.26150658924598247,
-0.29502833576407284,-0.2415224711294286,-0.2518368546734564,-0.2840693032485433,
-0.2821353563340381,-0.24700198738719337,-0.24216712010093033,-0.2621512382174842,
-0.2911604419350624,-0.23958852421492338,-0.2505475567304529,-0.2837469787627924,
-0.2827800053055398,-0.24700198738719337,-0.24184479561517946,-0.26182891373173334,
-0.2930943888495676,-0.24023317318642512,-0.2508698812162038,-0.28342465427704155,
-0.28245768081978895,-0.24700198738719337,-0.24216712010093033,-0.26182891373173334,
-0.29406136230682023,-0.2415224711294286,-0.2508698812162038,-0.28439162773429416,
-0.28116838287678547,-0.24635733841569163,-0.2415224711294286,-0.26182891373173334,
-0.2956729847355746,-0.24281176907243207,-0.252803828130709,-0.28471395222004503,
-0.2818130318482872,-0.2466796629014425,-0.24216712010093033,-0.26182891373173334,
-0.29696228267857805,-0.2434564180439338,-0.25248150364495814,-0.28439162773429416,
-0.2795567604480311,-0.2457126894441899,-0.24184479561517946,-0.2611842647602316,
-0.2966399581928272,-0.24313409355818294,-0.252803828130709,-0.28471395222004503,
-0.279879084933782,-0.24603501392994076,-0.24120014664367773,-0.26086194027448073,
-0.2966399581928272,-0.24313409355818294,-0.25215917915920727,-0.28471395222004503,
-0.27923443596228026,-0.24539036495843902,-0.24184479561517946,-0.26086194027448073,
-0.2966399581928272,-0.24313409355818294,-0.25215917915920727,-0.28439162773429416,
-0.2795567604480311,-0.24539036495843902,-0.24120014664367773,-0.260217291302979,
-0.2976069316500798,-0.24377874252968468,-0.252803828130709,-0.28471395222004503,
-0.27601119110477157,-0.24313409355818294,-0.240555497672176,-0.26053961578872986,
-0.3005078520218376,-0.24506804047268815,-0.25344847710221075,-0.28535860119154677,
-0.2776228135335259,-0.24474571598693728,-0.24120014664367773,-0.26086194027448073,
-0.29921855407883413,-0.24410106701543555,-0.25248150364495814,-0.2850362767057959,
-0.27633351559052244,-0.2434564180439338,-0.24087782215792686,-0.26053961578872986,
-0.2985739051073324,-0.24377874252968468,-0.2531261526164599,-0.28568092567729764,
-0.27601119110477157,-0.2434564180439338,-0.24023317318642512,-0.25957264233147725,
-0.30018552753608674,-0.24506804047268815,-0.252803828130709,-0.2850362767057959,
-0.27504421764751896,-0.24377874252968468,-0.240555497672176,-0.260217291302979,
-0.299540878564585,-0.24506804047268815,-0.252803828130709,-0.28535860119154677,
-0.27536654213326983,-0.24281176907243207,-0.24023317318642512,-0.25957264233147725,
-0.29921855407883413,-0.24377874252968468,-0.25215917915920727,-0.2850362767057959,
-0.27601119110477157,-0.24410106701543555,-0.240555497672176,-0.2598949668172281,
-0.2985739051073324,-0.24377874252968468,-0.2518368546734564,-0.2850362767057959,
-0.2766558400762733,-0.24410106701543555,-0.240555497672176,-0.2598949668172281,
-0.2982515806215815,-0.24410106701543555,-0.25215917915920727,-0.28535860119154677,
-0.27633351559052244,-0.24442339150118642,-0.24087782215792686,-0.2598949668172281,
-0.299540878564585,-0.24474571598693728,-0.25248150364495814,-0.28568092567729764,
-0.27601119110477157,-0.2434564180439338,-0.24120014664367773,-0.25957264233147725,
-0.3008301765075885,-0.24603501392994076,-0.25248150364495814,-0.2860032501630485,
-0.2737549197045155,-0.2424894445866812,-0.24023317318642512,-0.2598949668172281,
-0.3027641234220937,-0.2466796629014425,-0.2537708015879616,-0.2863255746487994,
-0.2734325952187646,-0.2424894445866812,-0.24087782215792686,-0.25957264233147725,
-0.30211947445059195,-0.2466796629014425,-0.2540931260737125,-0.2863255746487994,
-0.27407724419026636,-0.24216712010093033,-0.240555497672176,-0.2598949668172281,
-0.3034087723935954,-0.2466796629014425,-0.25344847710221075,-0.28664789913455024,
-0.2727879462472629,-0.2415224711294286,-0.240555497672176,-0.25957264233147725,
-0.3046980703365989,-0.24700198738719337,-0.2540931260737125,-0.2869702236203011,
-0.27020935036125593,-0.240555497672176,-0.23958852421492338,-0.2589279933599755,
-0.3034087723935954,-0.24700198738719337,-0.25344847710221075,-0.2860032501630485,
-0.27117632381850854,-0.240555497672176,-0.23991084870067425,-0.2589279933599755,
-0.30502039482234977,-0.24732431187294424,-0.2540931260737125,-0.2869702236203011,
-0.2705316748470068,-0.240555497672176,-0.23894387524342164,-0.2582833443884738,
-0.3056650437938515,-0.24796896084444597,-0.2540931260737125,-0.2869702236203011,
-0.2685977279325016,-0.23991084870067425,-0.23894387524342164,-0.25860566887422465,
-0.306954341736855,-0.24796896084444597,-0.2540931260737125,-0.2869702236203011,
-0.26892005241825245,-0.24023317318642512,-0.23894387524342164,-0.2582833443884738,
-0.30630969276535325,-0.24893593430169858,-0.25441545055946335,-0.287292548106052,
-0.2685977279325016,-0.23862155075767078,-0.23862155075767078,-0.25763869541697204,
-0.3075989907083567,-0.24893593430169858,-0.2547377750452142,-0.28664789913455024,
-0.26795307896099985,-0.23958852421492338,-0.2392661997291725,-0.2589279933599755,
-0.3098552621086128,-0.25022523224470206,-0.2547377750452142,-0.2879371970775537,
-0.26698610550374724,-0.2382992262719199,-0.23862155075767078,-0.2579610199027229,
-0.3088882886513602,-0.24925825878744945,-0.2540931260737125,-0.28664789913455024,
-0.2673084299894981,-0.2392661997291725,-0.23862155075767078,-0.2582833443884738,
-0.30953293762286194,-0.24958058327320032,-0.2547377750452142,-0.2869702236203011,
-0.2682754034467507,-0.23991084870067425,-0.23958852421492338,-0.25763869541697204,
-0.306954341736855,-0.2486136098159477,-0.25441545055946335,-0.2869702236203011,
-0.26795307896099985,-0.23958852421492338,-0.23958852421492338,-0.2579610199027229,
-0.3079213151941076,-0.24958058327320032,-0.2550600995309651,-0.28761487259180285,
-0.2673084299894981,-0.2382992262719199,-0.2392661997291725,-0.25731637093122117,
-0.3088882886513602,-0.24958058327320032,-0.2547377750452142,-0.2879371970775537,
-0.2673084299894981,-0.23894387524342164,-0.23958852421492338,-0.2579610199027229,
-0.30953293762286194,-0.25022523224470206,-0.2547377750452142,-0.2879371970775537,
-0.267630754475249,-0.2382992262719199,-0.2392661997291725,-0.25763869541697204,
-0.3088882886513602,-0.25119220570195466,-0.2557047485024668,-0.28761487259180285,
-0.2673084299894981,-0.23797690178616904,-0.23894387524342164,-0.2579610199027229,
-0.30921061313711107,-0.2505475567304529,-0.2547377750452142,-0.2882595215633046,
-0.26666378101799637,-0.23797690178616904,-0.23894387524342164,-0.2582833443884738,
-0.31049991108011454,-0.2518368546734564,-0.2557047485024668,-0.2882595215633046,
-0.26666378101799637,-0.23797690178616904,-0.2392661997291725,-0.2582833443884738,
-0.31049991108011454,-0.2508698812162038,-0.2550600995309651,-0.2882595215633046,
-0.2663414565322455,-0.2382992262719199,-0.23862155075767078,-0.2579610199027229,
-0.31049991108011454,-0.25119220570195466,-0.2547377750452142,-0.2882595215633046,
-0.2653744830749929,-0.23765457730041817,-0.23862155075767078,-0.25763869541697204,
-0.3121115335088689,-0.25248150364495814,-0.2550600995309651,-0.2879371970775537,
-0.2634405361604877,-0.2363652793574147,-0.23765457730041817,-0.25667172195971943,
-0.3130785069661215,-0.252803828130709,-0.2560270729882177,-0.2889041705348063,
-0.2634405361604877,-0.23604295487166382,-0.2382992262719199,-0.2569940464454703,
-0.3127561824803706,-0.25215917915920727,-0.2560270729882177,-0.28858184604905546,
-0.2631182116747368,-0.2363652793574147,-0.2373322528146673,-0.25667172195971943,
-0.31243385799461976,-0.25248150364495814,-0.2550600995309651,-0.2892264950205572,
-0.2621512382174842,-0.23572063038591295,-0.23700992832891643,-0.2569940464454703,
-0.31340083145187236,-0.2531261526164599,-0.25538242401671596,-0.2879371970775537,
-0.2663414565322455,-0.23765457730041817,-0.23862155075767078,-0.25731637093122117,
-0.3108222355658654,-0.2518368546734564,-0.2557047485024668,-0.2879371970775537,
-0.26601913204649463,-0.2373322528146673,-0.23797690178616904,-0.25731637093122117,
-0.30953293762286194,-0.25119220570195466,-0.2550600995309651,-0.28858184604905546,
-0.26666378101799637,-0.2373322528146673,-0.2382992262719199,-0.2569940464454703,
-0.30953293762286194,-0.2505475567304529,-0.2537708015879616,-0.287292548106052,
-0.26601913204649463,-0.23668760384316556,-0.2382992262719199,-0.25667172195971943,
-0.31049991108011454,-0.25215917915920727,-0.2557047485024668,-0.28858184604905546,
-0.26601913204649463,-0.23700992832891643,-0.2382992262719199,-0.2569940464454703,
-0.31049991108011454,-0.25215917915920727,-0.25538242401671596,-0.2889041705348063,
-0.2653744830749929,-0.23668760384316556,-0.23765457730041817,-0.2569940464454703,
-0.31372315593762323,-0.2537708015879616,-0.25634939747396857,-0.2889041705348063,
-0.26376286064623855,-0.2363652793574147,-0.23797690178616904,-0.2569940464454703,
-0.31243385799461976,-0.252803828130709,-0.2560270729882177,-0.2889041705348063,
-0.265052158589242,-0.23668760384316556,-0.2382992262719199,-0.2569940464454703,
-0.31146688453736715,-0.25215917915920727,-0.2550600995309651,-0.28954881950630806,
-0.2644075096177403,-0.23604295487166382,-0.2382992262719199,-0.25667172195971943,
-0.311789209023118,-0.2531261526164599,-0.2560270729882177,-0.2889041705348063,
-0.26376286064623855,-0.23572063038591295,-0.23797690178616904,-0.2569940464454703,
-0.3121115335088689,-0.252803828130709,-0.2557047485024668,-0.2889041705348063,
-0.26472983410349116,-0.2363652793574147,-0.23894387524342164,-0.2569940464454703,
-0.3108222355658654,-0.25215917915920727,-0.2550600995309651,-0.2889041705348063,
-0.26601913204649463,-0.23765457730041817,-0.23894387524342164,-0.25731637093122117,
-0.3108222355658654,-0.25248150364495814,-0.2557047485024668,-0.28858184604905546,
-0.2634405361604877,-0.23507598141441122,-0.2373322528146673,-0.25634939747396857,
-0.3121115335088689,-0.2537708015879616,-0.2557047485024668,-0.2892264950205572,
-0.2653744830749929,-0.23572063038591295,-0.23797690178616904,-0.25634939747396857,
-0.31372315593762323,-0.2547377750452142,-0.25667172195971943,-0.28987114399205893,
-0.2624735627032351,-0.23507598141441122,-0.23797690178616904,-0.25667172195971943,
-0.3140454804233741,-0.2550600995309651,-0.2557047485024668,-0.2889041705348063,
-0.26376286064623855,-0.23604295487166382,-0.23765457730041817,-0.25634939747396857,
-0.31372315593762323,-0.2547377750452142,-0.25634939747396857,-0.28954881950630806,
-0.2621512382174842,-0.2341090079571586,-0.2373322528146673,-0.25634939747396857,
-0.31340083145187236,-0.25441545055946335,-0.2560270729882177,-0.28954881950630806,
-0.26279588718898594,-0.23443133244290948,-0.2373322528146673,-0.2557047485024668,
-0.3127561824803706,-0.25344847710221075,-0.25538242401671596,-0.2882595215633046,
-0.2634405361604877,-0.23507598141441122,-0.23862155075767078,-0.25634939747396857,
-0.31372315593762323,-0.2547377750452142,-0.25667172195971943,-0.28987114399205893,
-0.2624735627032351,-0.23378668347140774,-0.23765457730041817,-0.25634939747396857,
-0.3150124538806267,-0.25538242401671596,-0.25667172195971943,-0.28954881950630806,
-0.26053961578872986,-0.23346435898565687,-0.23765457730041817,-0.2557047485024668,
-0.3163017518236302,-0.2560270729882177,-0.2569940464454703,-0.2901934684778098,
-0.26086194027448073,-0.23346435898565687,-0.23765457730041817,-0.2560270729882177,
-0.3150124538806267,-0.2557047485024668,-0.25634939747396857,-0.28987114399205893,
-0.26182891373173334,-0.23378668347140774,-0.23765457730041817,-0.25634939747396857,
-0.31565710285212845,-0.2560270729882177,-0.2569940464454703,-0.29051579296356067,
-0.26150658924598247,-0.23378668347140774,-0.2373322528146673,-0.25634939747396857,
-0.31759104976663366,-0.25667172195971943,-0.25731637093122117,-0.2901934684778098,
-0.26086194027448073,-0.233142034499906,-0.23797690178616904,-0.25634939747396857,
-0.3159794273378793,-0.25667172195971943,-0.2569940464454703,-0.29051579296356067,
-0.26053961578872986,-0.23378668347140774,-0.2373322528146673,-0.2560270729882177,
-0.31759104976663366,-0.2569940464454703,-0.2569940464454703,-0.28954881950630806,
-0.260217291302979,-0.233142034499906,-0.23700992832891643,-0.2550600995309651,
-0.3182356987381354,-0.25763869541697204,-0.25763869541697204,-0.29051579296356067,
-0.2582833443884738,-0.2321750610426534,-0.23668760384316556,-0.2560270729882177,
-0.31984732116688974,-0.2582833443884738,-0.2579610199027229,-0.2911604419350624,
-0.25763869541697204,-0.23185273655690253,-0.2373322528146673,-0.25538242401671596,
-0.32081429462414235,-0.2592503178457264,-0.2582833443884738,-0.29051579296356067,
-0.2550600995309651,-0.23056343861389905,-0.23604295487166382,-0.2547377750452142,
-0.32178126808139496,-0.260217291302979,-0.2579610199027229,-0.2914827664208133,
-0.2547377750452142,-0.22991878964239731,-0.2363652793574147,-0.2557047485024668,
-0.3221035925671458,-0.2598949668172281,-0.2579610199027229,-0.29083811744931154,
-0.25634939747396857,-0.23056343861389905,-0.23700992832891643,-0.25538242401671596,
-0.3221035925671458,-0.25957264233147725,-0.25860566887422465,-0.2914827664208133,
-0.25634939747396857,-0.22991878964239731,-0.23668760384316556,-0.2557047485024668,
-0.31984732116688974,-0.2579610199027229,-0.25667172195971943,-0.29083811744931154,
-0.25634939747396857,-0.23088576309964992,-0.2363652793574147,-0.2550600995309651,
-0.3221035925671458,-0.2592503178457264,-0.2579610199027229,-0.29083811744931154,
-0.2557047485024668,-0.23088576309964992,-0.2373322528146673,-0.2557047485024668,
-0.3214589435956441,-0.2589279933599755,-0.2582833443884738,-0.2914827664208133,
-0.25538242401671596,-0.23088576309964992,-0.2373322528146673,-0.25538242401671596,
-0.32178126808139496,-0.25957264233147725,-0.2582833443884738,-0.2911604419350624,
-0.2550600995309651,-0.23024111412814818,-0.23668760384316556,-0.2550600995309651,
